,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
0,hey girl,boy pablo,61,0.589,0.436,6,-11.811,1,0.038,0.0117,0.0691,0.115,0.9,99.924,2rVAtdA3LWr18RAVGXZNkw,187000,4,indie
1,For André,Tank and The Bangas,51,0.844,0.323,7,-10.785,0,0.0488,0.718,9.9e-06,0.654,0.729,107.983,06zGFsJg11na4OPtQTbyvG,185934,4,indie
2,One and Done,Bright Eyes,52,0.527,0.752,9,-8.299,0,0.0708,0.196,0.151,0.107,0.47,137.879,68jcvExgyOsHVKzFpIBElM,293097,4,indie
3,"Take Me Home, Country Roads (ft. Waxahatchee)",Whitney,53,0.571,0.39,2,-10.938,1,0.0277,0.365,0.00618,0.0832,0.646,80.122,1XmhBZq2QahjdqebUbFwTW,165107,4,indie
4,name & place,dad sports,38,0.495,0.848,0,-8.551,1,0.0299,0.112,0.889,0.197,0.553,157.088,45hAnZZq08IMAZZM3GOgMT,259873,4,indie
5,You're All I Want,Cigarettes After Sex,62,0.439,0.469,5,-10.949,1,0.0244,0.365,0.812,0.113,0.276,90.985,4nvLuqwTOZdEJI1fcHXv8h,264453,4,indie
6,Crush,Club Intl,39,0.584,0.702,4,-3.371,1,0.0419,0.00212,0.0,0.228,0.255,104.203,3QGITH6Fy3enLDTTDiprpc,180427,4,indie
7,No Use,Christian Leave,52,0.817,0.668,8,-9.042,1,0.118,0.0258,2.17e-05,0.0743,0.963,93.999,2m7AO4zLdkbd5SRmjNfnwz,196973,4,indie
8,Morning Dew,Kelsey Lu,46,0.323,0.298,7,-9.649,1,0.0324,0.959,0.000675,0.107,0.26,151.976,4IU9uyvBToh2mtFEyiAdGk,274610,4,indie
9,Day of Show,Skullcrusher,38,0.397,0.304,6,-9.882,1,0.0273,0.572,0.173,0.118,0.169,149.834,1KMgXg6BtxjGWa6fQ4Af7D,255307,4,indie
10,Knuckleduster,Muzz,42,0.275,0.883,5,-6.352,1,0.0661,0.238,0.49,0.0948,0.301,168.651,4YeiHDndtDpD8NsPWPaNHI,267832,4,indie
11,Dog Eat,Jack Larsen,51,0.545,0.632,5,-6.207,1,0.0364,0.0781,5.69e-06,0.372,0.259,144.921,6kyNaZJgV2ngQA6c0mvt5y,167158,4,indie
12,Anniversary,Nathan Bajar,33,0.67,0.557,10,-11.88,0,0.0405,0.249,0.00108,0.142,0.545,130.092,0wnyzaPQkZl7kTnkrwYVVL,146769,3,indie
13,dio,boylife,50,0.814,0.512,9,-5.698,1,0.034,0.0997,0.0119,0.0903,0.42,114.006,5bW37bLG2ILFlcLYRK8AU6,210394,4,indie
14,Flowers of Neptune 6,The Flaming Lips,48,0.248,0.683,2,-5.614,1,0.0349,0.692,0.102,0.127,0.109,179.912,392DiIpMc0Rn9Vkk7XXMGj,270968,4,indie
15,Someone,Gabriel Garzón-Montano,52,0.811,0.449,9,-5.8,0,0.212,0.229,1.27e-05,0.101,0.703,70.075,2E8xVnA1LW1oX4hg9euHym,221877,4,indie
16,Yvonne,Amason,44,0.634,0.797,7,-8.122,1,0.0387,0.0174,0.00196,0.124,0.282,117.995,5aNNY7B5Zf8VEDfpmcDtgc,244724,4,indie
17,headache,Jackie Hayes,34,0.741,0.81,6,-6.42,0,0.034,0.119,6.18e-05,0.331,0.965,124.109,7o3IKEFx73TNX4ymG3zZB8,127562,4,indie
18,kissing girls,Grady,47,0.415,0.456,0,-7.315,1,0.106,0.934,0.0,0.49,0.72,181.452,5lCtzEEl2FxySHX4zR9yEf,100750,3,indie
19,Tonight (I Wish I Was Your Boy),The 1975,53,0.496,0.444,7,-7.231,1,0.0522,0.123,1.67e-05,0.214,0.282,172.108,3AQrryq4mc956K3RtLZAFo,247265,4,indie
20,So We Won't Forget,Khruangbin,66,0.643,0.414,2,-13.213,1,0.101,0.0302,0.849,0.183,0.967,101.299,1sL0oHu8NCQpImkjxkoVXj,298333,4,indie
21,Don't Wanna,HAIM,62,0.762,0.498,8,-5.294,1,0.0481,0.161,9.55e-06,0.172,0.871,107.049,68AkRyS65QIHiYwDZoVn5p,201787,4,indie
22,I See You,Phoebe Bridgers,63,0.509,0.653,2,-8.075,1,0.032,0.426,0.00527,0.103,0.407,133.977,6Xa2Y4EP6wossxPv1kUy2c,190093,4,indie
23,Isn't It So Convenient,Mk.gee,52,0.762,0.503,8,-6.23,1,0.048,0.664,0.0937,0.145,0.572,98.014,12eyxtPAkRu24In2iftPEp,226750,4,indie
24,Can't Fight,Lianne La Havas,61,0.737,0.522,6,-9.205,0,0.0485,0.0772,0.00347,0.152,0.768,86.985,1zALEEIF3ipCSQMyHBzwPf,190560,4,indie
25,Paris,Becky and the Birds,48,0.321,0.282,5,-8.974,1,0.0347,0.928,0.0407,0.108,0.0627,127.911,6UM7ClDc7ZtII1XrLleTEa,170471,4,indie
26,Love Is Everywhere,Yellow Days,56,0.603,0.806,7,-7.037,1,0.0732,0.0147,0.00155,0.143,0.62,139.979,66z9nTAcrwXLTC6MNyDwBn,204027,4,indie
27,Serpentine Prison,Matt Berninger,57,0.608,0.377,11,-11.553,1,0.0329,0.378,0.149,0.108,0.37,110.079,7mYif4F2pfjQEDIssH2rfl,272280,4,indie
28,What Were We Doing If We Weren't In Love?,Sure Sure,49,0.66,0.483,5,-9.544,1,0.0443,0.739,0.0136,0.109,0.449,119.946,2X0uOZJ464ndWBz2PtkroO,222152,4,indie
29,Sucker,Madeline Kenney,41,0.511,0.674,9,-9.536,1,0.0274,0.117,0.0105,0.129,0.663,173.949,0KAW820FoYhpDe3lsgMRaC,283371,4,indie
30,Bummer Days,Liza Anne,45,0.692,0.673,8,-3.585,1,0.0323,0.54,0.0,0.165,0.703,99.652,1kgZILSFZKgpcrNraPamGQ,157668,4,indie
31,Easy on You,Sir Chloe,42,0.439,0.869,10,-4.478,1,0.0453,0.0191,0.00109,0.127,0.398,151.947,3sdZEsR8Wj1Fhy47G7bv9e,183750,4,indie
32,Begin Again,Nick Mulvey,54,0.675,0.57,7,-9.402,1,0.0348,0.811,9.31e-05,0.0788,0.575,101.981,1MKT2Vf6qowCN48KlH0aCA,275280,4,indie
33,Karma,Tipling Rock,44,0.743,0.561,1,-7.728,0,0.0261,0.611,3.51e-06,0.212,0.685,106.001,46RN1tO6VwqnNBeq9yOHiX,184919,4,indie
34,Cherry Pit,Luna Li,7,0.696,0.586,9,-7.403,1,0.0372,0.2,0.000534,0.12,0.725,120.75,3RgEVI9eSk0VXbRABxLgbq,291493,4,indie
35,I Like To Wait,"Japan, Man",40,0.68,0.362,9,-11.196,1,0.0559,0.222,0.000195,0.103,0.554,164.05,4UyA1oxeDvcguvvFpoJqMf,229764,4,indie
